"FIPSCode","YEAR","TEMPERATURE_MA","TEMPERATURE_INDEX"
55095,2021,70.7,"Hotter"
6097,2020,65.8,"Hotter"
47185,2021,49.1,"Hotter"
47187,2021,51.3,"Hotter"
55037,2021,66.3,"Hotter"
6075,2020,63.2,"Hotter"
47189,2021,51.3,"Hotter"
55013,2021,69.5,"Hotter"
55039,2021,71,"Hotter"
6001,2020,69.2,"Hotter"
6041,2020,62.7,"Hotter"
55035,2021,71.7,"Hotter"
55091,2021,72.8,"Hotter"
6081,2020,63.2,"Hotter"
55031,2021,66.4,"Hotter"
55033,2021,71.9,"Hotter"
55109,2021,72,"Hotter"
55139,2021,71.5,"Hotter"
8025,2020,74.6,"Hotter"
8105,2020,57.6,"Hotter"
8055,2020,66.2,"Hotter"
8091,2020,60,"Hotter"
15001,2020,77.6833,"Hotter"
15009,2020,81.8,"Hotter"
15009,2020,76.0806,"Hotter"
6045,2019,66,"Hotter"
15003,2020,77.3548,"Hotter"
6015,2019,62.6,"Hotter"
6081,2019,63.9,"Hotter"
6087,2019,64.1,"Hotter"
15001,2020,75.4032,"Hotter"
6075,2019,63,"Hotter"
6077,2019,51.1,"Hotter"
15007,2020,76.2097,"Hotter"
15001,2019,74.7581,"Hotter"
15009,2019,80.9,"Hotter"
8003,2018,63.8,"Hotter"
8023,2018,62.1,"Hotter"
8025,2018,75.9,"Hotter"
8029,2018,68.2,"Hotter"
8049,2018,56.3,"Hotter"
8065,2018,53,"Hotter"
8081,2018,65.7,"Hotter"
8089,2018,77,"Hotter"
8097,2018,56.6,"Hotter"
8021,2018,60,"Hotter"
8037,2018,58.5,"Hotter"
8067,2018,63.9,"Hotter"
8069,2018,61.2,"Hotter"
8083,2018,68.8,"Hotter"
8105,2018,59.3,"Hotter"
8111,2018,52.6,"Hotter"
15003,2019,81.7167,"Hotter"
15003,2019,77.4032,"Hotter"
15007,2019,76.4516,"Hotter"
8043,2018,65.9,"Hotter"
8085,2018,69,"Hotter"
8103,2018,65.7,"Hotter"
8113,2018,64.9,"Hotter"
15009,2019,76.5,"Hotter"
8007,2018,63,"Hotter"
8011,2018,77.6,"Hotter"
8015,2018,57.6,"Hotter"
8019,2018,56,"Hotter"
8071,2018,72.1,"Hotter"
8077,2018,69.1,"Hotter"
8055,2018,68,"Hotter"
8109,2018,59.2,"Hotter"
8027,2018,61.2,"Hotter"
8031,2018,72.3,"Hotter"
8051,2018,57.9,"Hotter"
8101,2018,75.2,"Hotter"
15007,2019,79.7833,"Hotter"
8045,2018,63.9,"Hotter"
8053,2018,54.2,"Hotter"
8093,2018,57.4,"Hotter"
8033,2018,62.7,"Hotter"
8041,2018,69,"Hotter"
8079,2018,54.4,"Hotter"
8091,2018,61.1,"Hotter"
8117,2018,54.1,"Hotter"
8119,2018,59.8,"Hotter"
28045,2018,82.4,"Hotter"
6009,2017,49.9,"Hotter"
6033,2017,48.3,"Hotter"
6065,2017,84.1,"Hotter"
8033,2017,31.8,"Hotter"
6027,2017,79.6,"Hotter"
6037,2017,73.8,"Hotter"
6071,2017,85.1,"Hotter"
6109,2017,43,"Hotter"
6005,2017,49.2,"Hotter"
6069,2017,70.7,"Hotter"
8033,2017,62,"Hotter"
6037,2017,55.1,"Hotter"
6043,2017,46.8,"Hotter"
6069,2017,50.5,"Hotter"
6087,2017,64,"Hotter"
6107,2017,44,"Hotter"
6059,2017,62,"Hotter"
6065,2017,57.2,"Hotter"
6079,2017,71.2,"Hotter"
6079,2017,52.3,"Hotter"
6083,2017,53.6,"Hotter"
6111,2017,67.7,"Hotter"
6071,2017,53,"Hotter"
6111,2017,52.8,"Hotter"
6073,2017,57.2,"Hotter"
8003,2017,62.7,"Hotter"
8029,2017,67.6,"Hotter"
15003,2018,76.6129,"Hotter"
6073,2017,73.7,"Hotter"
6083,2017,66.9,"Hotter"
6085,2017,68.2,"Hotter"
8007,2017,62.6,"Hotter"
8015,2017,56.7,"Hotter"
8021,2017,59,"Hotter"
8023,2017,60.5,"Hotter"
8077,2017,68.9,"Hotter"
8085,2017,68.7,"Hotter"
